INSTNM,CITY,STABBR,ZIP,INSTURL,CURROPER,CCBASIC,CCUGPROF,CCSIZSET,YEARS,HCM2,main,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,LATITUDE,LONGITUDE,ADM_RATE,first_gen,DISTANCEONLY,UGDS,UG,NPT4_ALL,NPT4_LOW,NPT4_MID,NPT4_HIGH,NPT4_PUB,NPT4_PRIV,NPT4_048_PUB,NPT4_048_PRIV,NPT4_3075_PUB,NPT4_3075_PRIV,NPT4_75UP_PUB,NPT4_75UP_PRIV,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,C150_4_POOLED,C150_L4_POOLED,RPY_3YR_RT,LO_INC_RPY_3YR_RT,MD_INC_RPY_3YR_RT,HI_INC_RPY_3YR_RT,DEBT_MDN,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,GRAD_DEBT_MDN10YR,CUML_DEBT_P90,CUML_DEBT_P75,CUML_DEBT_P25,CUML_DEBT_P10,gt_25k_p6,mn_earn_wne_p6,md_earn_wne_p6,pct10_earn_wne_p6,pct25_earn_wne_p6,pct75_earn_wne_p6,pct90_earn_wne_p6,mn_earn_wne_inc1_p6,mn_earn_wne_inc2_p6,mn_earn_wne_inc3_p6,gt_25k_p10,count_nwne_p10,count_wne_p10,mn_earn_wne_p10,md_earn_wne_p10,pct10_earn_wne_p10,pct25_earn_wne_p10,pct75_earn_wne_p10,pct90_earn_wne_p10,mn_earn_wne_inc1_p10,mn_earn_wne_inc2_p10,mn_earn_wne_inc3_p10
Minnesota School of Business-Waite Park,Waite Park,MN,56387,www.msbcollege.edu/,1,23,5,6,4,0,0,10,2,3,3,45.5502,-94.2317,NULL,0.449999988,0,339,NULL,21049,19493,21717,26169,NULL,21049,NULL,19493,NULL,21717,NULL,26169,14040,14040,NULL,0.485565021,NULL,0.621832669,0.525719268,0.707556936,0.810747664,21905,22500,22168,19000,344.8463261,50138,37271,9500,3245,0.565576613,29100,27600,6600,16000,38700,51600,24100,30900,35600,0.686813176,217,1274,37700,35700,7400,20900,50100,67900,31300,41200,42700
Ave Maria University,Ave Maria,FL,34142-9505,www.avemaria.edu,1,21,11,8,4,0,1,1,3,4,2,26.3371,-81.4411,0.5959,0.180000007,0,904,NULL,18079,15846,16896,20128,NULL,18079,NULL,15846,NULL,16896,NULL,20128,23000,23000,NULL,0.608269124,NULL,0.726950355,0.571428571,NULL,NULL,14250,14250,NULL,14750,271.1287141,35000,25500,5500,4750,0.576923072,29500,27800,5100,13000,39000,55000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cambridge Junior College-Yuba City,Yuba City,CA,95993,www.cambridge.edu,1,10,4,1,2,0,1,2,1,2,3,39.1399,-121.6522,0.8906,NULL,0,167,NULL,21496,21294,22053,NULL,NULL,21496,NULL,21294,NULL,22053,NULL,NULL,NULL,NULL,15326,NULL,0.704752368,0.533807829,0.488151659,NULL,NULL,9500,9500,NULL,NULL,105.469475,9500,9500,5510,4750,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Community Christian College,Redlands,CA,92373,www.cccollege.edu,1,9,3,1,2,1,1,1,2,2,2,34.0545,-117.2005,NULL,0.370000005,0,60,NULL,13118,11298,13007,18242,NULL,13118,NULL,11298,NULL,13007,NULL,18242,11148,11148,NULL,NULL,0.11111358,0.358490566,NULL,NULL,NULL,7601,6750,NULL,NULL,NULL,NULL,12200,3470,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Los Angeles Music Academy,Pasadena,CA,91105,www.lama.edu,1,10,4,1,2,0,1,1,2,2,3,34.1393,-118.1501,NULL,0.370000005,0,148,NULL,31147,30425,31642,34758,NULL,31147,NULL,30425,NULL,31642,NULL,34758,22575,22575,NULL,NULL,0.672386207,0.604651163,NULL,NULL,NULL,12000,16000,NULL,NULL,177.6439021,NULL,20000,6334,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Centura Institute,Orlando,FL,32810,www.centura.edu/Orlando/default.aspx,1,10,4,1,2,0,1,1,1,1,3,28.6151,-81.4231,NULL,0.600000024,0,45,NULL,23921,23921,23716,NULL,NULL,23921,NULL,23921,NULL,23716,NULL,NULL,NULL,NULL,NULL,NULL,0.772709091,0.37716263,0.37704918,NULL,NULL,9500,9500,NULL,NULL,105.469475,24750,14750,6785,4750,0.333333343,19500,18700,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southern Technical College,Orlando,FL,32809,www.southerntech.edu,1,10,4,2,2,0,1,1,2,2,3,28.7725,-81.2792,NULL,0.660000026,0,1502,NULL,13205,12569,17944,21294,NULL,13205,NULL,12569,NULL,17944,NULL,21294,NULL,NULL,32275,NULL,0.672693407,0.255813953,0.240384615,NULL,NULL,16492,16463,17646,NULL,218.7325891,22969,20000,6334,3167,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Stanbridge College,Irvine,CA,92612,www.stanbridge.edu,1,10,1,1,2,0,1,1,1,3,3,33.6789,-117.8576,0.7871,0.230000004,0,963,NULL,21249,21250,21695,NULL,NULL,21249,NULL,21250,NULL,21695,NULL,NULL,NULL,NULL,32173,0.761927679,NULL,0.731903485,0.70952381,0.731481481,0.818181818,15614,18195,17538,NULL,202.6124125,20000,20000,6883,3501.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Universal College of Healing Arts,Omaha,NE,68112-1810,www.ucha.edu,1,10,4,1,2,0,1,1,1,1,3,41.3392,-95.9615,NULL,0.389999986,0,27,NULL,22813,22813,NULL,NULL,NULL,22813,NULL,22813,NULL,NULL,NULL,NULL,15010,15010,NULL,NULL,0.972208333,0.724137931,NULL,NULL,NULL,NULL,NULL,NULL,NULL,178.3322292,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Harrisburg University of Science and Technology,Harrisburg,PA,17101-2208,www.HarrisburgU.edu,1,21,9,6,4,0,1,1,3,4,2,40.2613,-76.8808,NULL,NULL,0,278,NULL,22359,20884,22061,24832,NULL,22359,NULL,20884,NULL,22061,NULL,24832,23900,23900,NULL,0.30004,NULL,0.54368932,0.472727273,NULL,NULL,9500,9500,8250,10587,327.510475,38188,26000,4750,2750,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
The Art Institute of Ohio-Cincinnati,Cincinnati,OH,45249,www.artinstitutes.edu/cincinnati,1,10,3,2,2,0,0,4,2,3,3,39.2888,-84.3179,NULL,0.569999993,0,834,NULL,27025,27025,NULL,NULL,NULL,27025,NULL,27025,NULL,NULL,NULL,NULL,17391,17391,NULL,0.311231633,NULL,0.558731904,0.474452555,0.57267951,NULL,13000,12584,14738.5,16270,307.1548663,39485,26167,6334,3167,0.521193743,28700,26100,5600,14300,39000,52500,24900,29600,31800,0.650030077,312,1663,38000,34900,8000,18700,50500,69200,33600,38700,40700
Stevens-Henager College-Logan,Logan,UT,84321,www.stevenshenager.edu/,1,22,9,6,4,0,0,7,2,3,2,41.718,-111.836,NULL,0.460000008,0,140,NULL,22372,21908,24137,27787,NULL,22372,NULL,21908,NULL,24137,NULL,27787,16795,16795,NULL,0.318400897,NULL,0.314078675,0.267248908,0.408376963,NULL,10500,9500,19000,16962.5,292.3891398,35697,24906,4864,3769,0.478683621,28300,24000,3500,12400,38600,56600,25000,31400,38300,0.615494967,342,1394,36000,31700,5300,15800,48200,69900,30900,41000,42100
Blue Ridge Community and Technical College,Martinsburg,WV,25403,www.blueridgectc.edu/,1,2,1,2,2,0,1,1,1,2,1,39.4539,-77.9683,NULL,0.600000024,0,2240,NULL,9189,NULL,NULL,NULL,9189,NULL,8824,NULL,10374,NULL,13035,NULL,3120,5616,NULL,NULL,0.138235836,0.458715596,0.343023256,0.527638191,0.693693694,9000,9500,9000,7189.5,202.501392,28307,18000,4535,2726,0.635687709,36000,33300,7000,18700,51500,66400,30500,41500,38900,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Le Cordon Bleu College of Culinary Arts-Miami,Miramar,FL,33025,www.chefs.edu/miami,1,10,4,2,2,0,0,4,1,2,3,25.9785,-80.2881,NULL,0.439999998,0,721,NULL,16227,15724,16749,20117,NULL,16227,NULL,15724,NULL,16749,NULL,20117,12960,12960,NULL,NULL,0.628652673,0.455161419,0.363510712,NULL,NULL,9407.5,8933,9500,8931,129.227862,20000,15042,4750,2236,0.470432937,25800,23900,5800,14000,34300,46800,22900,27700,28600,0.525320292,276,1639,28600,26000,7100,15800,38300,50900,24000,29900,31700
Le Cordon Bleu College of Culinary Arts-Minneapolis,Mendota Heights,MN,55120-9914,www.chefs.edu/minneapolis-st-paul,1,10,4,2,2,0,0,3,1,2,3,44.866,-93.1601,NULL,0.360000014,0,572,NULL,16598,15067,17681,20191,NULL,16598,NULL,15067,NULL,17681,NULL,20191,12841,12841,NULL,NULL,0.601122391,0.530003352,0.447797224,NULL,NULL,12272,12750,11726,8931,166.9970361,18125,15042,6762.5,3690,0.479654759,25800,24200,5400,14000,35100,46200,23300,27400,28800,0.576886356,265,1047,31400,28900,5200,16300,42100,57500,28100,33100,35800
Career Technical College-Shreveport,Shreveport,LA,71105,www.careertc.edu,1,10,3,1,2,0,0,3,2,2,3,32.485,-93.7032,NULL,0.629999995,0,395,NULL,18038,18038,23651,NULL,NULL,18038,NULL,18038,NULL,23651,NULL,NULL,9549,9549,NULL,NULL,0.426222951,0.517475728,0.43833581,NULL,NULL,9500,8924,10792,NULL,152.103636,22500,15821,4750,3166,0.317839205,20800,18200,3100,9600,28600,39600,NULL,NULL,NULL,0.357142866,93,378,22200,19200,4100,11400,30000,41800,NULL,NULL,NULL
ITT Technical Institute-Kennesaw,Kennesaw,GA,30144,www.itt-tech.edu,1,14,3,1,2,0,0,141,2,3,3,34.0371,-84.589,0.944,0.5,0,351,NULL,22574,22068,25645,26402,NULL,22574,NULL,22068,NULL,25645,NULL,26402,18048,18048,NULL,0.262633333,NULL,0.394119686,0.340619462,0.479123414,0.630099728,14656.5,13500,17000.5,16434,286.8048087,32162,25625,6334,3167,0.591855824,33700,30300,6400,16100,44700,64300,28200,37900,41000,0.714413047,551,3365,42300,38400,8900,22500,56000,77000,38100,45300,46100
ITT Technical Institute-Owings Mills,Owings Mills,MD,21117,www.itt-tech.edu,1,14,3,2,2,0,0,141,2,3,3,39.4299,-76.8127,0.9514,0.49000001,0,616,NULL,23133,22621,24366,26492,NULL,23133,NULL,22621,NULL,24366,NULL,26492,18048,18048,NULL,0.343129412,NULL,0.394119686,0.340619462,0.479123414,0.630099728,14656.5,13500,17000.5,16434,286.8048087,32162,25625,6334,3167,0.591855824,33700,30300,6400,16100,44700,64300,28200,37900,41000,0.714413047,551,3365,42300,38400,8900,22500,56000,77000,38100,45300,46100
ITT Technical Institute-Warrensville Heights,Warrensville Heights,OH,44128,www.itt-tech.edu,1,10,3,1,2,0,0,141,2,3,3,41.4322,-81.4988,0.6414,0.469999999,0,458,NULL,22924,22573,24243,27139,NULL,22924,NULL,22573,NULL,24243,NULL,27139,18048,18048,NULL,0.229342202,NULL,0.394119686,0.340619462,0.479123414,0.630099728,14656.5,13500,17000.5,16434,286.8048087,32162,25625,6334,3167,0.591855824,33700,30300,6400,16100,44700,64300,28200,37900,41000,0.714413047,551,3365,42300,38400,8900,22500,56000,77000,38100,45300,46100
Daytona College,Ormond Beach,FL,32174-8445,daytonacollege.edu,1,10,4,1,2,0,1,1,1,2,3,29.2701,-81.0802,NULL,0.460000008,0,327,NULL,17107,16901,18514,21219,NULL,17107,NULL,16901,NULL,18514,NULL,21219,NULL,NULL,13331,NULL,0.579483392,0.327868852,0.331034483,NULL,NULL,8297,8158.5,NULL,NULL,97.14848853,17856,12043,6050,3500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
United States University,Chula Vista,CA,91911,www.usuniversity.edu,1,21,9,6,4,0,1,1,3,4,3,32.6149,-117.092,NULL,0.620000005,0,81,NULL,16704,16317,18415,19353,NULL,16704,NULL,16317,NULL,18415,NULL,19353,8060,8060,NULL,NULL,NULL,0.735294118,NULL,NULL,NULL,11250,9500,17000,11500,248.6415118,34375,23958,4750,1312,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Westwood College-Arlington Ballston,Arlington,VA,22203,www.westwood.edu,1,23,9,6,4,0,0,3,3,3,3,38.882,-77.1146,NULL,0.620000005,0,371,NULL,26446,26358,26847,NULL,NULL,26446,NULL,26358,NULL,26847,NULL,NULL,14645,14645,NULL,0.390803448,NULL,0.310542797,0.288461538,0.33615222,0.426573427,22967.5,20711.5,25358,NULL,432.0140717,56766,43952,9500,4179,0.541284382,28400,26300,5100,13500,38400,55800,27100,30000,30700,0.6875,14,64,38700,34200,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Kaplan College-Bakersfield,Bakersfield,CA,93304,www.kaplancollege.com/bakersfield-ca/,1,10,4,2,2,0,0,2,1,2,3,35.3373,-119.0379,NULL,0.620000005,0,479,NULL,22739,22571,23593,27124,NULL,22739,NULL,22571,NULL,23593,NULL,27124,NULL,NULL,14567,NULL,0.728864144,0.301850424,0.268843015,0.411904762,0.549450549,9488,9485,9500,NULL,105.4139648,13437,9500,7273,3670,0.361976355,20800,18600,2500,8700,29200,39600,19100,25300,29900,0.5289855,97,276,29000,26900,3800,11400,43100,55800,NULL,NULL,NULL
Kaplan College-Fresno,Clovis,CA,93612,www.kaplancollege.com/fresno-ca/,1,10,4,2,2,0,0,2,1,2,3,36.8072,-119.7083,NULL,0.639999986,0,312,NULL,23863,23804,23841,NULL,NULL,23863,NULL,23804,NULL,23841,NULL,NULL,NULL,NULL,14870,NULL,0.754833865,0.378650904,0.340036563,0.47723133,NULL,9474,9426,9493,NULL,105.469475,19219,9500,7028,4491,0.376325101,23700,20800,3100,10400,30800,45600,21300,26700,37000,0.41980198,238,505,21900,20700,2400,9500,30900,41800,20500,23600,NULL
AmeriTech College-Draper,Draper,UT,84020-6545,www.ameritech.edu,1,10,4,1,2,0,0,2,2,2,3,40.5279,-111.8928,0.7755,0.370000005,0,1036,NULL,32424,32255,34110,37401,NULL,32424,NULL,32255,NULL,34110,NULL,37401,18320,18320,NULL,0.7727,NULL,0.793565684,0.706521739,NULL,NULL,13478,11237,18998,NULL,269.113692,25250,23045,5500,4750,0.491525412,28400,24500,2700,13100,37500,56600,NULL,NULL,NULL,0.475073308,139,341,26900,23800,3300,9900,36900,52500,27000,28600,NULL
Argosy University-Los Angeles,Los Angeles,CA,90045,www.argosy.edu/losangeles,1,21,5,6,4,0,0,28,3,4,3,33.9279,-118.373,NULL,0.389999986,0,319,NULL,21026,20713,22410,NULL,NULL,21026,NULL,20713,NULL,22410,NULL,NULL,13663,13663,NULL,0,NULL,0.370393247,0.299601711,0.486633439,NULL,9500,8732.5,9500,9500,159.0146622,30774,16641,4750,2167,0.698424041,37100,33800,7900,21700,48800,65300,33100,37900,42000,0.722705305,158,1035,41800,38200,8900,23100,56100,75000,39700,42200,44600
Brown Mackie College-Miami,Miramar,FL,33027-3264,www.brownmackie.edu,1,14,4,2,2,0,0,33,2,3,3,25.7883,-80.186,NULL,0.569999993,0,953,NULL,20653,20478,21212,25708,NULL,20653,NULL,20478,NULL,21212,NULL,25708,14886,14886,NULL,0.387082488,NULL,0.289359316,0.238971998,NULL,NULL,12136.5,11341,14130,13423,239.793178,27673,20700,5200,2890,0.501259446,26800,25500,4800,15200,35900,47100,NULL,NULL,NULL,0.51184833,87,422,29100,25200,6200,15200,39500,53800,NULL,NULL,NULL
San Joaquin Valley College-Modesto,Salida,CA,95368,www.sjvc.edu,1,10,4,2,2,0,0,12,2,2,3,37.717,-121.0918,NULL,0.610000014,0,318,NULL,18862,18177,19829,22304,NULL,18862,NULL,18177,NULL,19829,NULL,22304,15528,15528,NULL,NULL,0.664694177,0.426538462,0.380977683,0.517018779,NULL,14000,14218,14750,12000,218.1386294,20000,20000,9500,4409,0.471348882,28300,23700,3900,11800,37300,58300,24700,32700,40900,0.540315092,637,2158,30900,26900,5400,13700,42100,61500,28200,34800,41700
Fortis College-Largo,Largo,FL,33771,www.fortiscollege.edu,1,10,4,1,2,0,0,4,2,2,3,27.8948,-82.7274,NULL,0.560000002,0,279,NULL,10517,10517,9631,NULL,NULL,10517,NULL,10517,NULL,9631,NULL,NULL,23000,23000,NULL,0.4688,NULL,0.38722966,0.35286285,0.513227513,NULL,12417,11875,13000,NULL,154.0409438,28680,19406,7500,3167,0.336585373,20500,18600,3900,11000,28100,36100,NULL,NULL,NULL,0.414396882,125,514,23000,20900,3600,11100,32400,41600,NULL,NULL,NULL
Platt College-Moore,Moore,OK,73160,www.plattcolleges.edu,1,10,4,1,2,0,0,5,1,2,3,35.3392,-97.4784,NULL,0.519999981,0,172,NULL,22603,21716,23503,26316,NULL,22603,NULL,21716,NULL,23503,NULL,26316,NULL,NULL,30020,NULL,0.641467925,0.480565371,0.443386774,0.625899281,NULL,9500,9498,10262,9700.5,133.2246,20000,18212,5500,3779,0.458997726,26600,23300,3800,11500,36400,53200,22700,35100,37400,0.394075394,373,1114,22800,20600,2400,9100,31600,44700,21100,29400,NULL
Eagle Gate College-Layton,Layton,UT,84041,www.eaglegatecollege.edu,1,14,3,1,2,0,0,3,2,3,3,41.0733,-111.9744,NULL,0.49000001,0,219,NULL,22889,22451,23476,25387,NULL,22889,NULL,22451,NULL,23476,NULL,25387,15220,15220,NULL,0.465328713,NULL,0.428664921,0.345309381,0.554761905,0.716981132,13353,13375,14458,NULL,221.374877,37526,23500,8613,3680,0.451576591,24800,23200,4700,13200,32700,43300,22100,27800,32800,0.597222209,40,144,33800,29700,4600,15500,43200,58000,NULL,NULL,NULL
Daymar College-Bellevue,Bellevue,KY,41073,www.daymarcollege.edu/,1,10,2,1,2,0,0,6,2,3,3,39.084,-84.482,NULL,0.629999995,0,97,NULL,20465,20465,21650,NULL,NULL,20465,NULL,20465,NULL,21650,NULL,NULL,18000,18000,NULL,0.36504127,NULL,0.265269245,0.231648352,0.396508728,NULL,13736.5,13070,16722.5,15000,261.5976042,30500,23839,6201.5,2959,0.280504912,18500,16600,2300,7300,26300,35400,NULL,NULL,NULL,0.426273465,137,373,25600,22100,3500,11300,35300,49200,NULL,NULL,NULL
New River Community and Technical College,Beckley,WV,25801,www.newriver.edu,1,2,3,3,2,0,1,1,2,2,1,37.7927,-81.2214,NULL,0.629999995,0,2022,NULL,5756,NULL,NULL,NULL,5756,NULL,5390,NULL,6302,NULL,7877,NULL,3460,7672,NULL,NULL,0.094710614,0.336170213,0.256670902,0.480769231,0.565789474,4300,3974.5,4841,NULL,83.265375,14742,8145,2450,1649,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Kaplan College-Palm Springs,Palm Springs,CA,92262-7011,www.kaplancollege.com/palm-springs-ca/,1,10,4,2,2,0,0,2,1,2,3,33.8219,-116.5192,NULL,0.579999983,0,362,NULL,22475,22426,22950,NULL,NULL,22475,NULL,22426,NULL,22950,NULL,NULL,NULL,NULL,14778,NULL,0.7936,0.501977587,0.449549976,0.603151862,NULL,9459,9394,9500,NULL,105.469475,16442,9500,5760,3500,0.463690877,24800,23200,3200,10900,34400,47300,22600,26700,30600,0.661498725,189,774,35000,32600,6300,18300,45600,65200,32500,37700,42800
University of Phoenix-Northern Nevada Campus,Reno,NV,89521-5862,www.phoenix.edu,1,20,9,6,4,0,0,71,3,4,3,39.4299,-119.755,NULL,0.5,0,129,NULL,17770,17770,NULL,NULL,NULL,17770,NULL,17770,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.164927835,NULL,0.406534043,0.32355328,0.520819191,0.668733423,18532,14266,24592,24329,394.122775,49250,34308,5860,2172,0.705231071,44300,38200,9000,21600,58900,84700,29900,45300,66500,0.814917386,8072,55613,60500,53400,13300,32300,79600,110100,41600,56700,78400
Minnesota School of Business-Rochester,Rochester,MN,55901,www.msbcollege.edu/,1,23,5,6,4,0,0,10,2,3,3,44.0714,-92.4995,NULL,NULL,0,256,NULL,21459,19114,20820,24708,NULL,21459,NULL,19114,NULL,20820,NULL,24708,14040,14040,NULL,0.405954455,NULL,0.621832669,0.525719268,0.707556936,0.810747664,21905,22500,22168,19000,344.8463261,50138,37271,9500,3245,0.565576613,29100,27600,6600,16000,38700,51600,24100,30900,35600,0.686813176,217,1274,37700,35700,7400,20900,50100,67900,31300,41200,42700
Georgia Gwinnett College,Lawrenceville,GA,30043,www.ggc.edu,1,22,6,9,4,0,1,1,3,3,1,33.9799,-84.0011,NULL,NULL,0,9325,NULL,12217,NULL,NULL,NULL,12217,NULL,11150,NULL,12712,NULL,15478,NULL,5246,14704,NULL,0.2678,NULL,0.606284658,0.558974359,0.610169492,0.656804734,9441,9500,8250,8175.5,240.2039538,26207,15694,5250,2750,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
American Career College-Ontario,Ontario,CA,91764,www.americancareercollege.edu,1,10,4,2,2,0,1,1,1,2,3,34.0682,-117.5838,NULL,NULL,0,1634,NULL,24505,24447,26065,NULL,NULL,24505,NULL,24447,NULL,26065,NULL,NULL,NULL,NULL,34450,NULL,0.67540208,0.45625,0.416873449,0.521008403,NULL,9500,9500,9500,NULL,105.469475,17869,15654,8749.5,4369,0.439613521,25400,22200,3500,11800,34600,47800,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ATA College,Louisville,KY,40223,www.ata.edu,1,10,4,1,2,0,1,2,1,2,3,38.224,-85.5666,NULL,NULL,0,427,NULL,22591,22591,NULL,NULL,NULL,22591,NULL,22591,NULL,NULL,NULL,NULL,11185,11185,NULL,NULL,0.663954098,0.432525952,0.385113269,NULL,NULL,14167,14250,13222,NULL,190.278035,27000,22279,9500,4750,0.503546119,25700,24800,4400,14300,36300,44300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Mountainland Applied Technology College,Lehi,UT,84043,www.mlatc.edu/,1,1,1,1,2,0,1,1,1,1,1,40.4203,-111.886,NULL,NULL,0,815,NULL,496,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,496,NULL,0.845572513,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Doane College-Lincoln Grand Island and Master,Lincoln,NE,68504,www.doane.edu,1,18,6,9,4,0,0,2,3,4,2,40.8155,-96.6508,NULL,NULL,0,721,NULL,7366,7366,7366,NULL,NULL,7366,NULL,7366,NULL,7366,NULL,NULL,9065,9065,NULL,0,NULL,0.897755611,0.845070423,NULL,NULL,18624,17260,19480,NULL,250.1180845,32000,27000,8885,4550,0.692691028,34700,33600,10800,22400,44400,56000,30200,35100,38000,0.817275763,42,602,46700,42300,14600,30700,56800,77400,43100,47100,48200
Shorter University-College of Adult & Professional Programs,Marietta,GA,30067,www.shorter.edu/CAPP/,1,19,9,9,4,0,0,2,2,4,2,33.908,-84.4279,NULL,NULL,0,922,NULL,27016,25903,26860,30910,NULL,27016,NULL,25903,NULL,26860,NULL,30910,8160,8160,NULL,0.475695146,NULL,0.633802817,0.534340659,NULL,NULL,25250,25563,26000,NULL,305.0288238,50563,36106,12500,5500,0.714285731,41300,36000,10900,22900,51900,74200,29200,41300,49300,0.783666372,130,1151,48100,43000,12100,27500,62800,85400,35900,46500,56600
Eastern International College-Belleville,Belleville,NJ,7109,www.eicollege.edu,1,10,3,1,2,0,0,2,2,2,3,40.7639,-74.2204,NULL,NULL,0,216,NULL,17617,17582,18760,NULL,NULL,17617,NULL,17582,NULL,18760,NULL,NULL,NULL,NULL,45000,NULL,0.910341379,0.558069382,0.520467836,NULL,NULL,13500,11666,NULL,NULL,238.477585,30824,24050,6045,3120,0.480603456,29200,23600,4800,12400,41100,60200,NULL,NULL,NULL,0.654676259,41,139,35600,31900,7400,17400,49300,67100,NULL,NULL,NULL
San Joaquin Valley College-Rancho Cordova,Rancho Cordova,CA,95670,www.sjvc.edu,1,10,4,1,2,0,0,12,2,2,3,38.5967,-121.2803,NULL,NULL,0,144,NULL,20450,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20450,20450,NULL,NULL,0.734734694,0.426538462,0.380977683,0.517018779,NULL,14000,14218,14750,12000,218.1386294,20000,20000,9500,4409,0.471348882,28300,23700,3900,11800,37300,58300,24700,32700,40900,0.540315092,637,2158,30900,26900,5400,13700,42100,61500,28200,34800,41700
MedTech College,Indianapolis,IN,46250,www.medtech.edu/,1,10,3,2,2,0,1,5,2,2,3,39.8918,-86.0532,NULL,NULL,0,603,NULL,21836,21209,22662,26696,NULL,21836,NULL,21209,NULL,22662,NULL,26696,NULL,NULL,44900,NULL,0.608585321,0.578210895,0.527777778,NULL,NULL,15834,14750,18646.5,15833,222.041,27000,21000,6334,3167,0.437142849,23200,22400,4400,12000,32200,42300,NULL,NULL,NULL,0.59375,34,96,37100,29300,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ITT Technical Institute-Charlotte South,Charlotte,NC,28217,www.itt-tech.edu,1,14,3,2,2,0,0,141,2,3,3,35.1821,-80.9211,0.9487,NULL,0,369,NULL,20821,20740,22030,NULL,NULL,20821,NULL,20740,NULL,22030,NULL,NULL,18048,18048,NULL,0.341864103,NULL,0.394119686,0.340619462,0.479123414,0.630099728,14656.5,13500,17000.5,16434,286.8048087,32162,25625,6334,3167,0.591855824,33700,30300,6400,16100,44700,64300,28200,37900,41000,0.714413047,551,3365,42300,38400,8900,22500,56000,77000,38100,45300,46100
ITT Technical Institute-Clovis,Clovis,CA,93612,www.itt-tech.edu,1,14,3,1,2,0,0,141,2,3,3,36.8366,-119.7013,0.929,NULL,0,439,NULL,22663,22016,23593,25989,NULL,22663,NULL,22016,NULL,23593,NULL,25989,18048,18048,NULL,0.369147651,NULL,0.394119686,0.340619462,0.479123414,0.630099728,14656.5,13500,17000.5,16434,286.8048087,32162,25625,6334,3167,0.591855824,33700,30300,6400,16100,44700,64300,28200,37900,41000,0.714413047,551,3365,42300,38400,8900,22500,56000,77000,38100,45300,46100
