INSTNM,CITY,STABBR,INSTURL,HCM2,main,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,LATITUDE,LONGITUDE,ADM_RATE,first_gen,DISTANCEONLY,UGDS,UG,NPT4_PUB,NPT4_PRIV,NPT4_048_PUB,NPT4_048_PRIV,NPT4_3075_PUB,NPT4_3075_PRIV,NPT4_75UP_PUB,NPT4_75UP_PRIV,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,C150_4_POOLED,C150_L4_POOLED,RPY_3YR_RT,LO_INC_RPY_3YR_RT,MD_INC_RPY_3YR_RT,HI_INC_RPY_3YR_RT,DEBT_MDN,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,GRAD_DEBT_MDN10YR,CUML_DEBT_P90,CUML_DEBT_P75,CUML_DEBT_P25,CUML_DEBT_P10,gt_25k_p10,count_nwne_p10,count_wne_p10,mn_earn_wne_p10,md_earn_wne_p10,pct10_earn_wne_p10,pct25_earn_wne_p10,pct75_earn_wne_p10,pct90_earn_wne_p10,mn_earn_wne_inc1_p10,mn_earn_wne_inc2_p10,mn_earn_wne_inc3_p10,CURROPER
Edward Waters College,Jacksonville,FL,www.ewc.edu,0,1,1,3,3,2,30.3451,-81.6848,0.2732,0.49000001,0,862,987,NULL,12443,NULL,12191,NULL,12369,NULL,16538,11525,11525,NULL,0.213902778,NULL,0.27027027,0.261127596,0.267857143,PrivacySuppressed,11351,11250,12269,PrivacySuppressed,354.810416,42477,26250,5500,2750,0.51779139,200,815,29100,25600,5500,14300,39400,55100,26100,34700,30900,1
Embry-Riddle Aeronautical University-Daytona Beach,Daytona Beach,FL,www.erau.edu,0,1,2,3,4,2,29.1892,-81.0495,0.7405,0.319999993,0,4666,11289,NULL,34497,NULL,31444,NULL,33847,NULL,36964,31334,31334,NULL,0.57634,NULL,0.865240345,0.808695652,0.869873817,PrivacySuppressed,16500,15625,15625,18375,288.6533,36788,28025,6625,3544,0.884715021,250,3088,65500,60900,22400,39400,84500,115500,62500,65100,68100,1
Florida Agricultural and Mechanical University,Tallahassee,FL,www.famu.edu,0,1,1,3,4,1,30.4286,-84.2857,0.45,0.340000004,0,8825,10707,11905,NULL,10706,NULL,12684,NULL,16896,NULL,5785,17725,NULL,0.403675606,NULL,0.569454205,0.557234432,0.572631579,PrivacySuppressed,20750,20427,22000,19750,302.8028627,43500,32000,10956,5500,0.711994648,335,2993,44600,37300,9800,22400,56800,88900,42300,44200,49300,1
Florida Atlantic University,Boca Raton,FL,www.fau.edu/,0,1,1,3,4,1,26.3725,-80.1023,0.4773,0.400000006,0,24685,17496,13242,NULL,10836,NULL,13317,NULL,17249,NULL,4790,17234,NULL,0.410684441,NULL,0.788629979,0.752972259,0.801944729,PrivacySuppressed,12500,12500,12500,11130,191.5103625,31508,23277,5518,3250,0.76164031,722,4682,46900,41400,11000,25900,58200,84800,45600,47500,48900,1
Florida State College at Jacksonville,Jacksonville,FL,www.fscj.edu,0,1,1,2,3,1,30.3349,-81.6599,NULL,0.469999999,0,25018,20838,7460,NULL,6217,NULL,8047,NULL,10338,NULL,2830,9944,NULL,0.339007054,NULL,0.559972701,0.507336872,0.6124197,0.665653495,6063,6264,5828,5500,99.91845,19747,11565.5,3500,1750,0.628799975,1079,4375,35000,32100,7400,18000,47100,65100,31600,38100,43200,1
Flagler College-St Augustine,Saint Augustine,FL,www.flagler.edu,0,1,2,3,3,2,29.8934,-81.3153,0.4987,0.319999993,0,2839,1830,NULL,21011,NULL,18229,NULL,20040,NULL,23679,16180,16180,NULL,0.638818511,NULL,0.882969432,PrivacySuppressed,0.889473684,PrivacySuppressed,16500,17828,17243,15000,262.4302579,32750,27000,7500,4500,0.743295014,97,783,40200,37200,9800,24600,48100,69300,34200,40600,43100,1
Florida College,Temple Terrace,FL,www.floridacollege.edu,0,1,1,2,3,2,28.0349,-82.3834,0.5875,0.270000011,0,558,537,NULL,19028,NULL,15648,NULL,17346,NULL,22350,14490,14490,NULL,0.532895395,NULL,0.887417219,0.810344828,0.908396947,0.902654867,10750,PrivacySuppressed,11500,8750,133.2246,27000,18091,5500,3250,0.715555549,72,225,40800,36900,6700,21400,53800,72800,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
Concorde Career Institute-Jacksonville,Jacksonville,FL,www.concorde.edu,0,1,2,1,2,3,30.3275,-81.5738,1,0.550000012,0,630,276,NULL,21114,NULL,21101,NULL,21378,NULL,NULL,NULL,NULL,14600,NULL,0.8133625,0.418062637,0.378509197,0.494584838,PrivacySuppressed,9500,9500,9500,PrivacySuppressed,105.469475,19244.5,12506,6333,3167,0.38967973,202,562,22500,20700,4200,11600,30300,41000,21600,23900,PrivacySuppressed,1
Concorde Career Institute-Miramar,Miramar,FL,www.concorde.edu,0,1,1,1,2,3,26.1751,-80.203,1,0.600000024,0,508,349,NULL,18324,NULL,18235,NULL,21338,NULL,23208,NULL,NULL,14842,NULL,0.877636329,0.484749455,0.47041847,0.518134715,0.59375,9327,9326,9500,PrivacySuppressed,105.469475,19000,9500,6233,3167,0.455188692,224,848,23400,22500,4900,12400,32000,40400,22300,28800,PrivacySuppressed,1
Concorde Career Institute-Tampa,Tampa,FL,www.concorde.edu,0,1,1,1,2,3,27.9591,-82.5151,1,0.569999993,0,454,481,NULL,19779,NULL,19737,NULL,20123,NULL,24239,NULL,NULL,14622,NULL,0.840190754,0.539888683,0.515451174,0.586538462,PrivacySuppressed,9016,8859,9500,PrivacySuppressed,105.3029443,15334,9500,6131,3077,0.469244301,195,569,25000,23900,6400,13100,34000,44000,23300,28300,PrivacySuppressed,1
Adventist University of Health Sciences,Orlando,FL,www.adu.edu,0,1,1,3,4,2,28.5761,-81.3677,0.1336,0.400000006,0,2064,581,NULL,18901,NULL,18381,NULL,18712,NULL,20349,11830,11830,NULL,0.346120513,NULL,0.840851064,0.796208531,PrivacySuppressed,PrivacySuppressed,15236,14570,16261.5,PrivacySuppressed,230.1454965,29712,23016,7197,3500,0.823219001,39,379,52000,51100,13500,29800,67000,83900,44900,49000,65200,1
Florida Institute of Technology,Melbourne,FL,www.fit.edu,0,1,1,3,4,2,28.0645,-80.6246,0.6045,0.25,0,3191,2033,NULL,30624,NULL,27536,NULL,30563,NULL,32076,36020,36020,NULL,0.544826415,NULL,0.572869955,0.436315789,PrivacySuppressed,PrivacySuppressed,8509,6250,11081,15500,290.4074239,38582,23000,3562,2275,0.849749565,62,599,55200,53100,20400,34000,74000,92300,51200,52900,58600,1
Florida Institute of Ultrasound Inc,Pensacola,FL,www.fiuonline.net,0,1,1,1,1,3,30.5349,-87.2206,NULL,0.449999988,0,68,43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,16000,16000,PrivacySuppressed,PrivacySuppressed,177.6328,PrivacySuppressed,16000,9600,PrivacySuppressed,0.756410241,12,78,46300,47900,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
Florida International University,Miami,FL,www.fiu.edu,0,1,1,3,4,1,25.7571,-80.3776,0.4304,0.379999995,0,38234,26222,12266,NULL,9763,NULL,12611,NULL,15379,NULL,6496,18895,NULL,0.500913288,NULL,0.781070862,0.761200429,0.802729045,0.820261438,13750,14250,13812.5,12250,197.0613875,36357,25379,6250,3250,0.790681005,780,5580,49800,45100,12500,28900,65200,88000,48300,51200,52400,1
Florida Keys Community College,Key West,FL,www.fkcc.edu,0,1,1,2,2,1,24.5827,-81.7445,NULL,0.5,0,964,1625,12251,NULL,11354,NULL,12122,NULL,18699,NULL,3276,10726,NULL,NULL,0.324315315,0.604651163,0.5375,PrivacySuppressed,PrivacySuppressed,9500,9500,9500,PrivacySuppressed,116.571525,25250,16000,4750,2375,0.542435408,93,271,32200,27100,3300,12300,46200,63100,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
Florida Memorial University,Miami Gardens,FL,www.fmuniv.edu,0,1,1,3,4,2,25.9179,-80.2707,0.4159,0.49000001,0,1517,1985,NULL,16493,NULL,15657,NULL,16410,NULL,17495,14776,14776,NULL,0.404415339,NULL,0.288409704,0.263358779,0.347169811,PrivacySuppressed,23750,24250,23750,15000,494.041225,54562.5,44250,9500,4750,0.555679262,207,898,31500,27700,5500,14800,41200,54300,30100,34200,31800,1
Florida Career College-Miami,Miami,FL,www.careercollege.edu,0,1,1,1,3,3,25.7553,-80.3667,NULL,0.600000024,0,5818,971,NULL,41874,NULL,41796,NULL,42884,NULL,46063,18184,18184,NULL,0.538942072,NULL,0.297611362,0.274766661,0.363507779,PrivacySuppressed,9500,9500,9500,9500,105.469475,20000,12834,6333,3167,0.661016941,286,1062,37700,34300,8400,19600,51000,68600,33700,42600,42600,1
Florida School of Massage,Gainesville,FL,www.floridaschoolofmassage.com/,0,1,1,1,1,3,29.5935,-82.3385,NULL,NULL,0,70,NULL,NULL,15515,NULL,15077,NULL,16526,NULL,18299,NULL,NULL,10000,NULL,0.723570732,0.62195122,0.576470588,PrivacySuppressed,PrivacySuppressed,7073,7073,PrivacySuppressed,PrivacySuppressed,78.52479965,7073,7073,6230,3537,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
Florida Southern College,Lakeland,FL,www.flsouthern.edu,0,1,1,3,4,2,28.0315,-81.9458,0.4989,0.340000004,0,2379,2334,NULL,21558,NULL,18212,NULL,19975,NULL,23910,28580,28580,NULL,0.565856228,NULL,0.824582339,PrivacySuppressed,0.822485207,PrivacySuppressed,18375,PrivacySuppressed,19756,17750,277.55125,34500,27000,8915.5,4750,0.725806475,87,806,40400,37600,9400,23400,51300,69400,39800,40200,41400,1
Florida State University,Tallahassee,FL,www.fsu.edu,0,1,1,3,4,1,30.4397,-84.2909,0.5681,0.289999992,0,32086,27021,14691,NULL,12072,NULL,14270,NULL,17902,NULL,6507,21673,NULL,0.75999095,NULL,0.856627809,0.803642987,0.871433482,PrivacySuppressed,18750,18500,18999.5,18750,233.14305,33500,28250,9500,4821,0.801855445,736,7222,50200,44000,14900,29500,63200,87300,48600,49900,51800,1
Florida Technical College,Orlando,FL,www.ftccollege.edu,0,1,1,1,2,3,28.5737,-81.201,NULL,0.569999993,0,4330,571,NULL,14055,NULL,13956,NULL,14832,NULL,17047,NULL,NULL,16964,0.602,NULL,0.396583564,0.36259323,0.5,0.718309859,9500,9500,10713,9837,136.2221535,20000,13250,4750,1619,0.529968441,229,634,30300,26900,4600,14500,42300,57900,26300,35100,PrivacySuppressed,1
University of Southernmost Florida,Jacksonville,FL,www.usmf.edu,0,1,2,2,2,3,30.3262,-81.55,NULL,0.529999971,0,99,278,NULL,8580,NULL,8432,NULL,9295,NULL,11673,11103,11103,NULL,0.1477,NULL,0.363112392,0.334494774,PrivacySuppressed,PrivacySuppressed,12347.5,12000,PrivacySuppressed,PrivacySuppressed,172.3593263,20000,18250,6113,3033,0.592727244,56,275,32700,29800,5200,13800,44400,62300,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
University of Southernmost Florida-Coral Gables Campus,Coral Gables,FL,http://www.usmf.edu,0,0,2,0,0,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11103,NULL,NULL,NULL,NULL,0.363112392,0.334494774,PrivacySuppressed,PrivacySuppressed,12347.5,12000,PrivacySuppressed,PrivacySuppressed,172.3593263,20000,18250,6113,3033,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
University of Florida,Gainesville,FL,www.ufl.edu/,0,1,1,3,4,1,29.6382,-82.3612,0.4655,0.280000001,0,32346,32680,12582,NULL,8275,NULL,8925,NULL,15563,NULL,6263,28541,NULL,0.858173311,NULL,0.878139535,0.845020098,0.884683099,PrivacySuppressed,14546,13116,15000,15000,168.0017716,29000,22617,7500,3950,0.833858013,699,6988,59900,51300,15900,33800,77600,109000,59100,58700,61800,1
Fort Pierce Beauty Academy,Fort Pierce,FL,fpbeauty.com,0,1,1,1,1,3,27.4124,-80.3247,NULL,0.600000024,0,28,13,NULL,6961,NULL,6961,NULL,6570,NULL,NULL,NULL,NULL,6945,NULL,0.893625532,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.265306115,67,147,17400,15500,2100,5000,25300,33700,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
Full Sail University,Winter Park,FL,www.fullsail.edu,0,1,1,3,4,3,28.5965,-81.3013,NULL,0.300000012,0,18880,1910,NULL,29945,NULL,29818,NULL,29572,NULL,30311,22088,22088,NULL,0.785378357,NULL,0.57482499,0.443418623,0.618347694,PrivacySuppressed,14750,12500,19250,19500,342.4205282,40822,26250,6545,4750,0.647847593,523,2834,40600,34100,7300,18400,53600,78000,37600,41900,42400,1
George Stone Technical Center,Pensacola,FL,www.georgestonecenter.com,0,1,1,1,1,1,30.4881,-87.2951,NULL,0.610000014,0,675,537,8913,NULL,8744,NULL,10324,NULL,NULL,NULL,NULL,NULL,2874,NULL,0.670694951,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.436274499,111,204,24600,21500,2600,11100,33800,46900,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
George T Baker Aviation School,Miami,FL,www.bakeraviation.edu,0,1,1,1,1,1,25.8041,-80.2636,NULL,0.560000002,0,710,133,2392,NULL,2360,NULL,2800,NULL,NULL,NULL,NULL,NULL,4350,NULL,0.640517647,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.727941155,25,136,42500,40300,8700,23400,54400,79800,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
Gulf Coast State College,Panama City,FL,www.gulfcoast.edu/default.htm,0,1,1,2,3,1,30.1861,-85.7272,NULL,0.5,0,3643,5341,5057,NULL,4733,NULL,6191,NULL,5657,NULL,2765,10072,NULL,0.348882822,NULL,0.589350181,0.549275362,0.636054422,PrivacySuppressed,5500,5523,6000,5089,77.54781925,16719,10500,3000,1750,0.588039875,381,1505,31900,29900,4900,15200,42600,59100,29300,35900,40600,1
Key College,Dania Beach,FL,www.keycollege.edu,0,1,1,2,2,3,26.0528,-80.1399,NULL,0.50999999,0,68,168,NULL,17195,NULL,17043,NULL,17886,NULL,NULL,11085,11085,NULL,NULL,0.420454545,0.605263158,0.571428571,PrivacySuppressed,PrivacySuppressed,10889,11281,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.653061211,39,98,33800,33000,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
Hillsborough Community College,Tampa,FL,www.hccfl.edu,0,1,1,2,2,1,27.9345,-82.4569,NULL,0.469999999,0,23596,18497,5776,NULL,5771,NULL,6870,NULL,6584,NULL,2506,9111,NULL,NULL,0.262103143,0.567505193,0.535125759,0.599272727,0.625423729,7000,7750,6484.5,5750,111.0205,20000,12089.5,4250,2585,0.626782894,829,3786,35800,32500,7300,17100,48300,66700,33700,38100,42600,1
Hobe Sound Bible College,Hobe Sound,FL,www.hsbc.edu,0,1,1,3,3,2,27.0665,-80.1324,NULL,0.25999999,0,194,145,NULL,9956,NULL,9281,NULL,11451,NULL,NULL,5700,5700,NULL,0.413806897,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,6,34,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
Hollywood Institute of Beauty Careers,Hollywood,FL,www.hi.edu,0,1,2,1,1,3,26.0076,-80.2076,NULL,NULL,0,73,NULL,NULL,19052,NULL,19052,NULL,18315,NULL,NULL,NULL,NULL,13200,NULL,0.684215789,0.603092784,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,5739,5722.5,PrivacySuppressed,PrivacySuppressed,70.30928265,11500,8636,3666,2908,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
Cortiva Institute-Florida,Pinellas Park,FL,www.cortiva.com,0,1,1,1,1,3,27.8397,-82.689,NULL,0.49000001,0,173,326,NULL,19896,NULL,19537,NULL,20656,NULL,22613,NULL,NULL,11506,NULL,0.702713514,0.689873418,0.596590909,PrivacySuppressed,PrivacySuppressed,7917,7917,7917,PrivacySuppressed,87.89492985,7917,7917,4584,2917,0.515789449,62,190,28900,25700,5100,12300,39800,55800,24200,PrivacySuppressed,PrivacySuppressed,1
Indian River State College,Fort Pierce,FL,www.irsc.edu,0,1,1,2,3,1,27.4231,-80.3579,NULL,0.519999981,0,13993,13186,1918,NULL,1556,NULL,2758,NULL,3446,NULL,2764,10201,NULL,0.408439027,NULL,0.556070436,0.51142632,0.621374046,0.616580311,5056,5694,4500,4500,86.0408875,16706,9879,2750,1750,0.578620255,389,1609,32500,28700,7100,16500,43300,61400,30600,35600,39000,1
International Academy of Design and Technology-Tampa,Tampa,FL,www.iadt.edu/tampa,0,1,8,3,3,3,27.9922,-82.5485,NULL,0.409999996,0,474,1325,NULL,17088,NULL,16331,NULL,17431,NULL,20340,15600,15600,NULL,0.289276882,NULL,0.388268499,0.329308031,0.450575816,PrivacySuppressed,15042,15042,20000,20000,326.1227188,54500,36152,7586,3167,0.556006968,412,1723,31100,27800,5100,15000,41900,56000,28800,32200,34200,1
International Academy,South Daytona,FL,www.intl-academy.com,0,1,1,1,1,3,29.1622,-80.9978,NULL,0.5,0,257,140,NULL,15411,NULL,15287,NULL,16416,NULL,18933,NULL,NULL,15900,NULL,0.690739759,0.351758794,0.306990881,PrivacySuppressed,PrivacySuppressed,7667,7828,PrivacySuppressed,PrivacySuppressed,105.469475,13000,12650,4750,2988,0.291390717,74,151,21700,17600,4300,10000,26900,42400,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
AI Miami International University of Art and Design,Miami,FL,www.artinstitutes.edu/miami/,0,1,1,3,4,3,25.79,-80.1884,NULL,0.349999994,0,3167,960,NULL,25642,NULL,24598,NULL,25871,NULL,28801,17704,17704,NULL,0.413951954,NULL,0.509079118,0.459444129,0.543053961,PrivacySuppressed,18375,16856,19000,21835.5,350.1031468,48354,33500,7333,3500,0.595463157,144,529,34100,29300,5600,16000,44900,65800,31900,35400,38000,1
ITT Technical Institute-Tampa,Tampa,FL,www.itt-tech.edu,0,0,141,2,3,3,27.9824,-82.5476,0.7297,0.479999989,0,463,742,NULL,23227,NULL,22601,NULL,23711,NULL,26761,18048,18048,NULL,0.3389,NULL,0.394119686,0.340619462,0.479123414,0.630099728,14656.5,13500,17000.5,16434,286.8048087,32162,25625,6334,3167,0.714413047,551,3365,42300,38400,8900,22500,56000,77000,38100,45300,46100,1
Jacksonville University,Jacksonville,FL,www.jacksonville.edu,0,1,1,3,4,2,30.3503,-81.6071,0.4737,0.370000005,0,3360,1814,NULL,21216,NULL,17936,NULL,19075,NULL,26174,29900,29900,NULL,0.39385121,NULL,0.796752226,0.746835443,0.819832402,PrivacySuppressed,15000,PrivacySuppressed,14775,15281.5,247.9531847,33500,25000,7500,4166,0.80427444,118,889,53200,47700,13800,30100,69100,91700,44900,51700,60100,1
Jones College-Jacksonville,Jacksonville,FL,www.jones.edu,0,1,1,2,3,2,30.328,-81.6101,NULL,0.519999981,0,445,654,NULL,13007,NULL,13007,NULL,NULL,NULL,NULL,7410,7410,NULL,0.2973,NULL,0.412408759,0.395784543,0.438202247,PrivacySuppressed,18856,17845,19654,PrivacySuppressed,425.1085966,46965,34848,5750,2402,0.552486181,135,543,31500,28300,4700,13800,41600,59800,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
Keiser University-Ft Lauderdale,Fort Lauderdale,FL,www.keiseruniversity.edu,0,1,14,2,4,2,26.1859,-80.164,0.9331,0.5,0,15788,536,NULL,22933,NULL,22275,NULL,23843,NULL,26835,16284,16284,NULL,0.562311111,NULL,0.468016739,0.436408697,0.506351039,0.613386613,19200,19000,20000,18474,305.306375,41000,30063,9500,4750,0.587450981,642,2550,33200,29600,4900,15000,44700,62400,29300,37400,45900,1
Keiser University-Melbourne,Melbourne,FL,http://www.keiseruniversity.edu,0,0,14,0,0,2,NULL,NULL,NULL,0.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16284,NULL,NULL,NULL,NULL,0.468016739,0.436408697,0.506351039,0.613386613,19200,19000,20000,18474,305.306375,41000,30063,9500,4750,0.587450981,642,2550,33200,29600,4900,15000,44700,62400,29300,37400,45900,1
Keiser University-Tallahassee,Tallahassee,FL,http://www.keiseruniversity.edu,0,0,14,0,0,2,NULL,NULL,NULL,0.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16284,NULL,NULL,NULL,NULL,0.468016739,0.436408697,0.506351039,0.613386613,19200,19000,20000,18474,305.306375,41000,30063,9500,4750,0.587450981,642,2550,33200,29600,4900,15000,44700,62400,29300,37400,45900,1
Keiser University-Daytona,Daytona Beach,FL,http://www.keiseruniversity.edu,0,0,14,0,0,2,NULL,NULL,NULL,0.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16284,NULL,NULL,NULL,NULL,0.468016739,0.436408697,0.506351039,0.613386613,19200,19000,20000,18474,305.306375,41000,30063,9500,4750,0.587450981,642,2550,33200,29600,4900,15000,44700,62400,29300,37400,45900,1
Keiser University-Lakeland,Lakeland,FL,http://www.keiseruniversity.edu,0,0,14,0,0,2,NULL,NULL,NULL,0.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16284,NULL,NULL,NULL,NULL,0.468016739,0.436408697,0.506351039,0.613386613,19200,19000,20000,18474,305.306375,41000,30063,9500,4750,0.587450981,642,2550,33200,29600,4900,15000,44700,62400,29300,37400,45900,1
Keiser University- Miami,Miami,FL,http://www.keiseruniversity.edu,0,0,14,0,0,2,NULL,NULL,NULL,0.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16284,NULL,NULL,NULL,NULL,0.468016739,0.436408697,0.506351039,0.613386613,19200,19000,20000,18474,305.306375,41000,30063,9500,4750,0.587450981,642,2550,33200,29600,4900,15000,44700,62400,29300,37400,45900,1
Keiser University-Orlando,Orlando,FL,http://www.keiseruniversity.edu,0,0,14,0,0,2,NULL,NULL,NULL,0.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16284,NULL,NULL,NULL,NULL,0.468016739,0.436408697,0.506351039,0.613386613,19200,19000,20000,18474,305.306375,41000,30063,9500,4750,0.587450981,642,2550,33200,29600,4900,15000,44700,62400,29300,37400,45900,1
Keiser University-Sarasota,Sarasota,FL,http://www.keiseruniversity.edu,0,0,14,0,0,2,NULL,NULL,NULL,0.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16284,NULL,NULL,NULL,NULL,0.468016739,0.436408697,0.506351039,0.613386613,19200,19000,20000,18474,305.306375,41000,30063,9500,4750,0.587450981,642,2550,33200,29600,4900,15000,44700,62400,29300,37400,45900,1
Keiser University-Jacksonville,Jacksonville,FL,http://www.keiseruniversity.edu,0,0,14,0,0,2,NULL,NULL,NULL,0.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16284,NULL,NULL,NULL,NULL,0.468016739,0.436408697,0.506351039,0.613386613,19200,19000,20000,18474,305.306375,41000,30063,9500,4750,0.587450981,642,2550,33200,29600,4900,15000,44700,62400,29300,37400,45900,1
Keiser University-Tampa,Tampa,FL,http://www.keiseruniversity.edu,0,0,14,0,0,2,NULL,NULL,NULL,0.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16284,NULL,NULL,NULL,NULL,0.468016739,0.436408697,0.506351039,0.613386613,19200,19000,20000,18474,305.306375,41000,30063,9500,4750,0.587450981,642,2550,33200,29600,4900,15000,44700,62400,29300,37400,45900,1
Keiser University-Pembroke Pines,Pembroke Pines,FL,http://www.keiseruniversity.edu,0,0,14,0,0,2,NULL,NULL,NULL,0.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16284,NULL,NULL,NULL,NULL,0.468016739,0.436408697,0.506351039,0.613386613,19200,19000,20000,18474,305.306375,41000,30063,9500,4750,0.587450981,642,2550,33200,29600,4900,15000,44700,62400,29300,37400,45900,1
Keiser University-Port St Lucie,Port St Lucie,FL,http://www.keiseruniversity.edu,0,0,14,0,0,2,NULL,NULL,NULL,0.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16284,NULL,NULL,NULL,NULL,0.468016739,0.436408697,0.506351039,0.613386613,19200,19000,20000,18474,305.306375,41000,30063,9500,4750,0.587450981,642,2550,33200,29600,4900,15000,44700,62400,29300,37400,45900,1
Keiser University-West Palm Beach,West Palm Beach,FL,http://www.keiseruniversity.edu,0,0,14,0,0,2,NULL,NULL,NULL,0.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16284,NULL,NULL,NULL,NULL,0.468016739,0.436408697,0.506351039,0.613386613,19200,19000,20000,18474,305.306375,41000,30063,9500,4750,0.587450981,642,2550,33200,29600,4900,15000,44700,62400,29300,37400,45900,1
Keiser University-Ft Myers,Ft Myers,FL,http://www.keiseruniversity.edu,0,0,14,0,0,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16284,NULL,NULL,NULL,NULL,0.468016739,0.436408697,0.506351039,0.613386613,19200,19000,20000,18474,305.306375,41000,30063,9500,4750,0.587450981,642,2550,33200,29600,4900,15000,44700,62400,29300,37400,45900,1
Heritage Institute-Ft Myers,Fort Myers,FL,heritage-education.com,0,1,1,2,2,3,26.5409,-81.8425,NULL,0.639999986,0,614,14,NULL,19111,NULL,19105,NULL,19429,NULL,NULL,NULL,NULL,23908,NULL,0.650474348,0.352578907,0.33748702,0.384057971,0.45,9500,9500,9921.5,PrivacySuppressed,155.1067406,17375,16792,7875,4104,0.444444448,26,63,24500,23500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
La Belle Beauty School,Hialeah,FL,labellebeauty.net,0,1,1,1,1,3,25.8667,-80.313,NULL,0.709999979,0,290,330,NULL,8212,NULL,8212,NULL,NULL,NULL,NULL,NULL,NULL,14832,NULL,0.725829032,0.786279683,PrivacySuppressed,PrivacySuppressed,NULL,7139,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,79.3796575,7535,7150,4070,3500,0.180000007,197,400,16800,13500,4200,8500,21400,30600,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
